X	Y	TYPE	SPEED	DIRTYPE	DIRECTION		
-73.851114	45.593478	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.851114 45.593478)',4326),'speedcamerapoi.com'),"
-73.851784	45.62361	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.851784 45.62361)',4326),'speedcamerapoi.com'),"
-73.859014	45.45268	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.859014 45.45268)',4326),'speedcamerapoi.com'),"
-73.860738	45.630614	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.860738 45.630614)',4326),'speedcamerapoi.com'),"
-73.867878	45.645938	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.867878 45.645938)',4326),'speedcamerapoi.com'),"
-73.875996	45.420732	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.875996 45.420732)',4326),'speedcamerapoi.com'),"
-73.900043	45.685951	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.900043 45.685951)',4326),'speedcamerapoi.com'),"
-73.910044	45.316555	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.910044 45.316555)',4326),'speedcamerapoi.com'),"
-73.921126	45.541484	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.921126 45.541484)',4326),'speedcamerapoi.com'),"
-73.924853	45.423029	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.924853 45.423029)',4326),'speedcamerapoi.com'),"
-73.946568	45.379811	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.946568 45.379811)',4326),'speedcamerapoi.com'),"
-73.949551	45.417613	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.949551 45.417613)',4326),'speedcamerapoi.com'),"
-73.952442	45.406058	1	70	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.952442 45.406058)',4326),'speedcamerapoi.com'),"
-73.958099	45.400733	1	70	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.958099 45.400733)',4326),'speedcamerapoi.com'),"
-74.002971	45.745199	1	30	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.002971 45.745199)',4326),'speedcamerapoi.com'),"
-74.005045	45.386042	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.005045 45.386042)',4326),'speedcamerapoi.com'),"
-74.009505	45.384165	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.009505 45.384165)',4326),'speedcamerapoi.com'),"
-74.037291	45.410266	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.037291 45.410266)',4326),'speedcamerapoi.com'),"
-74.069536	45.406826	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.069536 45.406826)',4326),'speedcamerapoi.com'),"
-74.085417	45.865051	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.085417 45.865051)',4326),'speedcamerapoi.com'),"
-74.127653	45.323963	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.127653 45.323963)',4326),'speedcamerapoi.com'),"
-74.285397	45.479911	1	80	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.285397 45.479911)',4326),'speedcamerapoi.com'),"
-74.340039	45.498903	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.340039 45.498903)',4326),'speedcamerapoi.com'),"
-74.349288	45.623462	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.349288 45.623462)',4326),'speedcamerapoi.com'),"
-74.349623	45.208079	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.349623 45.208079)',4326),'speedcamerapoi.com'),"
-74.390193	45.538991	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.390193 45.538991)',4326),'speedcamerapoi.com'),"
-74.456085	45.555357	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.456085 45.555357)',4326),'speedcamerapoi.com'),"
-74.995702	45.00788	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-74.995702 45.00788)',4326),'speedcamerapoi.com'),"
-75.102422	45.304309	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.102422 45.304309)',4326),'speedcamerapoi.com'),"
-75.424411	45.553073	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.424411 45.553073)',4326),'speedcamerapoi.com'),"
-75.46803	45.466926	1	60	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.46803 45.466926)',4326),'speedcamerapoi.com'),"
-75.473861	45.436548	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.473861 45.436548)',4326),'speedcamerapoi.com'),"
-75.501737	44.771528	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.501737 44.771528)',4326),'speedcamerapoi.com'),"
-75.562668	45.427559	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.562668 45.427559)',4326),'speedcamerapoi.com'),"
-75.575363	45.457675	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.575363 45.457675)',4326),'speedcamerapoi.com'),"
-75.599812	45.435058	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.599812 45.435058)',4326),'speedcamerapoi.com'),"
-75.599815	45.434904	5	60	0	0		"(3,1,2,geography::STPointFromText('POINT(-75.599815 45.434904)',4326),'speedcamerapoi.com'),"
-75.610059	45.511345	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.610059 45.511345)',4326),'speedcamerapoi.com'),"
-75.610291	45.43725	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.610291 45.43725)',4326),'speedcamerapoi.com'),"
-75.610302	45.414201	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.610302 45.414201)',4326),'speedcamerapoi.com'),"
-75.624932	45.422232	1	60	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.624932 45.422232)',4326),'speedcamerapoi.com'),"
-75.625214	45.421816	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.625214 45.421816)',4326),'speedcamerapoi.com'),"
-75.625277	45.375381	1	60	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.625277 45.375381)',4326),'speedcamerapoi.com'),"
-75.627041	45.023513	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.627041 45.023513)',4326),'speedcamerapoi.com'),"
-75.627502	45.406648	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.627502 45.406648)',4326),'speedcamerapoi.com'),"
-75.638527	45.4001	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.638527 45.4001)',4326),'speedcamerapoi.com'),"
-75.643054	45.353924	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.643054 45.353924)',4326),'speedcamerapoi.com'),"
-75.644106	45.355779	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.644106 45.355779)',4326),'speedcamerapoi.com'),"
-75.656254	45.449659	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.656254 45.449659)',4326),'speedcamerapoi.com'),"
-75.661623	45.347528	1	60	0	0		"(3,1,1,geography::STPointFromText('POINT(-75.661623 45.347528)',4326),'speedcamerapoi.com'),"
